-2.190 7.378
1.490 3.557
1.310 3.508
-2.290 8.266
1.880 3.015
3.420 -4.562
-0.450 -0.239
2.530 2.203
-1.720 3.559
-0.190 0.038
0.880 2.693
-1.410 1.868
2.990 -0.439
-1.410 1.216
1.420 3.352
3.010 -0.452
-1.770 3.173
2.310 2.417
-0.650 0.298
0.560 1.470
-0.980 0.761
-1.410 1.733
-1.140 0.439
0.250 1.468
1.670 3.396
2.260 2.386
-2.090 6.176
-2.330 8.661
-1.970 4.981
-1.400 1.781
-0.980 -0.252
3.470 -4.765
3.470 -5.238
0.670 1.515
1.370 3.654
2.780 0.971
0.100 0.138
3.020 -0.504
0.710 2.504
1.260 3.279
1.540 3.913
3.150 -2.005
2.310 2.665
-0.030 -0.022
0.080 0.438
-0.270 0.148
-0.640 -0.402
-1.420 1.507
0.400 1.721
-2.150 7.215
0.660 1.357
0.740 1.985
-0.300 -0.400
3.370 -3.865
-2.270 7.815
-1.250 1.261
1.980 3.638
2.190 3.192
-1.820 4.405
1.620 2.881
-1.510 2.513
0.920 2.866
-2.130 6.632
-1.890 4.597
2.880 0.115
3.050 -1.477
3.470 -5.125
0.640 2.258
3.130 -1.789
1.440 2.766
-0.030 0.068
2.220 2.725
2.400 2.828
-2.260 7.839
-0.890 0.171
0.520 1.448
0.640 1.943
1.040 2.835
0.940 2.660
1.120 2.690
-2.370 9.634
-1.520 2.090
-0.070 -0.108
1.670 3.081
-0.980 -0.162
1.100 2.451
-1.440 1.888
3.070 -1.004
1.410 3.319
1.630 3.966
-2.260 7.929
1.440 3.081
-2.030 5.574
-0.200 -0.245
-1.750 3.015
2.800 0.292
3.110 -1.419
-1.330 1.635
3.160 -2.361
0.540 1.785
