8.420 2.811
1.720 -0.614
9.660 6.194
4.270 -2.664
9.240 5.115
8.180 1.962
7.690 1.011
5.370 -3.016
2.500 -1.037
3.970 -3.060
3.280 -1.842
4.980 -3.432
2.430 -1.680
9.310 5.830
6.560 -2.072
8.260 2.053
1.570 -0.462
2.610 -1.252
3.250 -2.559
6.460 -2.390
1.760 -0.684
3.460 -2.328
6.280 -2.429
5.200 -2.932
0.150 0.340
2.400 -2.114
7.030 -1.123
0.550 -0.357
7.500 -0.132
9.080 4.357
1.420 -0.734
9.050 4.984
3.960 -3.234
9.800 7.083
8.320 2.300
6.750 -1.864
3.750 -2.279
1.230 -0.715
1.580 -1.131
9.990 6.196
4.630 -2.274
2.600 -2.021
1.850 -1.174
1.440 -1.359
5.400 -2.218
8.980 4.726
8.020 0.982
1.260 -0.367
0.240 0.449
1.520 -0.590
8.490 3.302
7.020 -1.116
5.830 -1.957
0.440 0.184
0.630 0.262
8.370 1.817
3.350 -2.703
7.170 -0.228
6.620 -2.168
8.120 1.938
1.410 -0.841
7.980 1.447
6.700 -1.952
8.310 1.873
1.210 -1.033
0.520 0.346
1.170 -1.057
7.630 0.002
1.120 -0.184
7.270 -1.064
6.130 -2.398
7.040 -0.952
4.640 -2.695
1.090 -0.024
6.520 -2.327
6.150 -2.787
1.690 -0.693
8.020 1.669
5.560 -2.996
1.950 -0.846
1.440 -1.397
2.670 -1.796
6.530 -1.526
3.950 -2.517
9.340 6.144
8.290 1.985
9.090 5.115
0.600 -0.600
4.910 -2.684
1.850 -1.759
0.030 -0.239
1.040 -0.998
6.320 -1.648
2.860 -1.728
3.930 -2.775
6.460 -1.550
3.480 -2.480
0.170 -0.497
3.660 -2.815
2.300 -1.040
